AVERAGE MONTHLY RANK CORRELATIONS OVER 60 MONTHS
Universe Name: Russell 2000
Factor Code: NIStab
Factor Name: Net Income Stability
Tab Name: Negative
Created Date: 2024-07-25

Category,Factor Name,Correlation,T-Stat
Volatility,12M Realized Price Volatility,-0.480531459090701,-72.7647070523772
Volatility,Volatility,-0.445842736745083,-62.7455286845594
Volatility,1M Realized Price Volatility,-0.381527351251647,-36.6590119889497
Volatility,90 Day Coefficient of Variation,-0.35731615747168,-33.2495283583911
Volatility,60M CAPM Beta,-0.224628022980929,-50.579837161468
Earnings Quality,Accrual Ratio - Cash Flows,-0.217076157632828,-60.6266409166685
Size,Log Market Cap,-0.180466777258457,-26.406043123395
Size,Size,-0.176347061472957,-26.882146377887
Size,Log TTM Sales,-0.119816165512465,-18.1946013359279
Earnings Quality,Working Capital Accruals,-0.108636203293095,-15.4104659063898

Correlation (Factors)
,Volatility,Volatility,Volatility,Volatility,Volatility,Earnings Quality,Size,Size,Size,Earnings Quality
Date,12M Realized Price Volatility,Volatility,1M Realized Price Volatility,90 Day Coefficient of Variation,60M CAPM Beta,Accrual Ratio - Cash Flows,Log Market Cap,Size,Log TTM Sales,Working Capital Accruals
1991-08-31,0,0,0,0,0,0,0,0,0,0
1991-09-30,0,0,0,0,0,0,0,0,0,0
1991-10-31,0,0,0,0,0,0,0,0,0,0
1991-11-30,0,0,0,0,0,0,0,0,0,0
1991-12-31,0,0,0,0,0,0,0,0,0,0
1992-01-31,0,0,0,0,0,0,0,0,0,0
1992-02-29,0,0,0,0,0,0,0,0,0,0
1992-03-31,0,0,0,0,0,0,0,0,0,0
1992-04-30,0,0,0,0,0,0,0,0,0,0
1992-05-31,0,0,0,0,0,0,0,0,0,0
1992-06-30,,,,,,,,,,
1993-03-31,0,0,0,0,0,0,0,0,0,0
1993-04-30,0.727407229864159,0.793915025529547,0.818866775930196,0.971034856410167,0.685555146428167,-0.722684874743509,-0.502119132305648,-0.555812380593062,-0.257484645253725,-0.219297766517516
1993-05-31,0.224863550171867,0.267836627178833,0.396008000187483,-0.147084321656976,0.302041905550447,-0.573509893703862,-0.126276388117276,0.0559070039102692,0.181298601850165,-0.0223080185972412
1993-06-30,0.227670013913406,0.380238912165601,0.379203936337479,0.31880615803661,0.21837945254943,-0.573940815747291,0.0710012867197596,0.0983015078317098,0.0994717738159608,-0.117998029940875
1993-07-31,-0.0233871288845435,0.0143100912835833,-0.0784681438492128,0.101950169763759,0.0552625772008182,-0.527165029598243,-0.16646038123817,-0.10504209071529,-0.00129656950217626,-0.238804102246402
1993-08-31,-0.0459382211497099,0.0862315028399639,0.0397374483933611,0.0853176268259619,0.171003601676455,-0.485825680814878,-0.19468078602736,-0.105144809232656,0.0248670114053636,-0.352051441027331
1993-09-30,-0.128251726974959,-0.0234883303628152,-0.169878174959186,0.10088820557725,0.122580088873244,-0.509276242811335,-0.251884163105016,-0.16126573314809,-0.0293500374539792,-0.368870158756301
1993-10-31,-0.116767009035616,0.0292445710141851,0.0531460098924696,0.0515807333149735,0.0903087006471969,-0.423417955493863,-0.225396964421018,-0.134256124369695,-0.014270091364029,-0.300589006759329
1993-11-30,-0.0616541151608897,0.0155106851469098,0.0215348330765884,0.0233757641587146,0.0577266791738596,-0.49277591248979,-0.340292848323148,-0.187714033416843,0.00443017029858882,-0.328957041034745
1993-12-31,-0.0655240042368031,-0.0111465310847104,-0.0701155583025766,0.0638736432800208,0.0279323417722238,-0.48257942860733,-0.340187252447563,-0.170385808280476,0.0438319468094585,-0.248133998946023
1994-01-31,-0.0648681787131577,0.0147349597467273,0.0269436028083786,0.0798447925156346,0.00704068778638633,-0.456687046569492,-0.353984569712536,-0.186899818314843,0.0381486625122247,-0.163372510402369
