AVERAGE MONTHLY RANK CORRELATIONS OVER 60 MONTHS
Universe Name: Russell 2000
Factor Code: NIStab
Factor Name: Net Income Stability
Tab Name: Positive
Created Date: 2024-07-25

Category,Factor Name,Correlation,T-Stat
Earnings Quality,Net Profit Margin,0.637114035675182,179.787507762641
Valuation,Earnings to Price,0.630292251859859,186.523198223206
Capital Efficiency,Return on Equity,0.556533112972559,179.548054371276
Earnings Quality,Earnings Quality,0.520814814456924,118.718202368537
Capital Efficiency,Cash Flow Return on Invested Capital,0.45820099154913,127.697749677048
Historical Growth,1Y Chg in Earnings per Share,0.45142371965965,43.5082309153834
Valuation,EBITDA to Enterprise Value,0.423937465235137,63.2173515063858
Capital Efficiency,Capital Acquisition Ratio,0.404803058092944,133.426195019772
Capital Efficiency,Capital Efficiency,0.398556789841025,106.6778004002
Valuation,Valuation,0.315470227186736,62.2184761851582

Correlation (Factors)
,Earnings Quality,Valuation,Capital Efficiency,Earnings Quality,Capital Efficiency,Historical Growth,Valuation,Capital Efficiency,Capital Efficiency,Valuation
Date,Net Profit Margin,Earnings to Price,Return on Equity,Earnings Quality,Cash Flow Return on Invested Capital,1Y Chg in Earnings per Share,EBITDA to Enterprise Value,Capital Acquisition Ratio,Capital Efficiency,Valuation
1991-08-31,0,0,0,0,0,0,0,0,0,0
1991-09-30,0,0,0,0,0,0,0,0,0,0
1991-10-31,0,0,0,0,0,0,0,0,0,0
1991-11-30,0,0,0,0,0,,0,0,0,0
1991-12-31,0,0,0,0,0,,0,0,0,0
1992-01-31,0,0,0,0,0,,0,0,0,0
1992-02-29,0,0,0,0,0,,0,0,0,0
1992-03-31,0,0,0,0,0,,0,0,0,0
1992-04-30,0,0,0,0,0,,0,0,0,0
1992-05-31,0,0,0,0,0,,0,0,0,0
1992-06-30,,,0,0,,,,,0,
1993-03-31,0,0,0,0,0,0,0,0,0,0
1993-04-30,-0.0195761815646041,-0.996500573181849,-0.165510424091508,0,-0.562014414524736,1,-0.995650338010868,-0.459665733839803,-0.270461292985767,-0.97953852720434
1993-05-31,0.492411490958804,0.230823087786003,0.271553509038855,0.433547756308511,0.221096980751662,0.264950987193928,0.145236798067004,0.231772542992532,0.303411896085868,-0.0906502255266122
1993-06-30,0.391850696473902,0.464691174833504,0.334391930591125,0.340232089465287,0.0395443011141214,0.225990003130604,0.248790519727984,-0.0229029656296996,0.111870761353364,0.0165345486344031
1993-07-31,0.645104750481768,0.477300881004394,0.530464534041347,0.369712243313779,0.0793827750853641,0.46252763400275,0.167139172323403,-0.0463200391674855,0.208365453497007,-0.0449362869777588
1993-08-31,0.626296524843519,0.390217599987316,0.537091807890794,0.333099008636443,0.107927347264585,0.295767764177203,0.112673197042521,-0.103614549731104,0.263390358767608,-0.0957539728559481
1993-09-30,0.645251182281121,0.439644893899507,0.618325266936805,0.302047281412016,0.106828628105097,0.160610326543086,0.104495033955099,-0.105406387220646,0.283505594511303,-0.0309919153876329
1993-10-31,0.602546997039766,0.473568204947925,0.621247732076501,0.408086571896665,0.123482516935475,0.208031534417118,0.131017164097294,-0.0727879639854726,0.276760462451616,0.00503733301160622
1993-11-30,0.682049040782369,0.498575887416677,0.673788484458931,0.328694653108224,0.108449079049654,0.326980530098311,0.0750268920654986,0.00636114756298973,0.303997994670075,0.00407217547362999
1993-12-31,0.695194852136648,0.459438082940354,0.627796951533263,0.371549269362444,0.210244501135847,0.270420938993015,0.0211085024446405,0.165823997713364,0.379725999338804,-0.0153837051481499
1994-01-31,0.659505034915963,0.367157242717834,0.561767938636377,0.388397011815162,0.248712914181449,0.215317391939116,-0.02582623850413,0.23988576611988,0.385373021897842,-0.046332019791268
1994-02-28,0.632518909052487,0.331595070190407,0.561330922048189,0.360296350772742,0.156198013882075,0.23441231429603,-0.0710462766772933,0.1867860832009,0.346060933321179,-0.109656418536122
1994-03-31,0.636120645640105,0.362941064903611,0.554148164332476,0.357264657414852,0.192528151639648,0.341292532816283,0.0839111299869465,0.250023632304011,0.237457306742978,-0.0270961147557796
1994-04-30,0.657373869950937,0.429068883321308,0.566284333575646,0.344482372688091,0.207159233006976,0.339015542258318,0.098283376303299,0.240839604447071,0.259376404252736,-0.00473522237002356
1994-05-31,0.642048910163685,0.442666963140796,0.567107174360707,0.389550249741275,0.236063089270506,0.300852133237021,0.115062353537704,0.195772077041254,0.270993811634133,0.0163679579625038
1994-06-30,0.593205910519284,0.358707541004071,0.556871097523412,0.487264225416748,0.200319406300574,0.272962054874999,0.0614571151783977,0.233730691424238,0.355262646785945,0.0126798337761552
1994-07-31,0.602703984915422,0.380220922290233,0.444812295047028,0.358065036948342,0.195132583213006,0.258387231078365,0.0841553421398983,0.215826446957696,0.249873379689901,0.0489644069184032
1994-08-31,0.599382584414037,0.38879370822001,0.432837266716269,0.327370084614563,0.202901279055767,0.25564479462744,0.0743862494325441,0.213520150964206,0.242943013017033,0.0542260094768629
1994-09-30,0.54276780321777,0.32477109875598,0.399021444371637,0.278907077312496,0.222241127664397,0.223511105405891,0.0954527217168934,0.245781061903236,0.274128596360813,0.0599955124539762
1994-10-31,0.530476414323384,0.312104997587511,0.387584596005475,0.282213379551993,0.220002145217823,0.189339288329506,0.0870690544139577,0.283988994959978,0.315766616246381,0.0725587553404571
1994-11-30,0.504818877312838,0.267794460950239,0.369732204364235,0.279845963134409,0.229910834782856,0.169027238444837,0.0831114172171711,0.287198520306807,0.310694457346656,0.0389890815921793
1994-12-31,0.503918579023993,0.246242892384151,0.371241394809775,0.347313626588432,0.188700429899107,0.145834314965359,0.106264483570761,0.320164883570569,0.290501084567957,0.0689988698858624
1995-01-31,0.489755625554814,0.247770384667901,0.340497201749382,0.38074716471004,0.183115356249582,0.132371379140592,0.0659297589727358,0.302908984894497,0.265855863418643,0.0651826526274108
1995-02-28,0.473333214575455,0.225295808364453,0.323700442724256,0.360973891962333,0.136615922446236,0.0432924195642702,0.0599205034476,0.267231224125919,0.219852380016185,0.0478466496206498
1995-03-31,0.470925489979609,0.28687758682469,0.438765822883022,0.380411618290132,0.274866899450522,0.114913340826539,0.0410918192778277,0.25592158604535,0.253828381731713,0.0558714842122221
1995-04-30,0.484981916364998,0.286291437547856,0.450236624150046,0.381846048813938,0.266025683384586,0.189287757796541,0.014525677970812,0.236851585875664,0.267195549576043,0.0319726852246371
1995-05-31,0.447026146158687,0.227545205676434,0.438068762991823,0.432040762708784,0.278340396642302,0.155326634066455,0.053702563212716,0.219631242059187,0.237328364258939,-0.0149858974356216
1995-06-30,0.442774754938749,0.236594956527955,0.456481916182306,0.533800231201,0.315460777907412,0.2805458461218,0.0373053211244012,0.230191545616216,0.257886909054295,0.0107183679241597
1995-07-31,0.478744321974266,0.323653602572596,0.488647078877395,0.454062855955929,0.297606716696345,0.303627143222959,0.124825712706305,0.255880803981594,0.256365337281501,0.114737732098723
1995-08-31,0.49567496101853,0.347651546559433,0.478333383353578,0.429823273686741,0.2420721626481,0.270926513378366,0.144011986960943,0.203717157726415,0.216037127076255,0.105611357832587
1995-09-30,0.494550275110346,0.286172091814856,0.455931367657765,0.448304615903107,0.249793760958582,0.242050211503357,0.0817643613149013,0.214070477113066,0.22573291766218,0.0690236435754071
1995-10-31,0.471123089056288,0.280965546719922,0.457624566366202,0.430833636248281,0.278213132330195,0.261928419484098,0.0948580266506547,0.230835980386414,0.239458017147823,0.0785327249903924
1995-11-30,0.391385346642056,0.263885488138078,0.453254620711431,0.411233784641146,0.21569362334407,0.295589909290368,0.0758597741409043,0.149454675136381,0.187670837884097,0.0932517319617944
1995-12-31,0.399946912662507,0.281340009689094,0.484024639913121,0.423040115971404,0.243117170821981,0.296165845203891,0.0622090381285281,0.165517759514997,0.221625652956076,0.0580204260562283
1996-01-31,0.422874293792726,0.332769173309982,0.515275519154816,0.430701899255897,0.248145578037554,0.315742605981971,0.0979188147494575,0.156632657468912,0.243330625084727,0.0902852211673911
1996-02-29,0.460347471701075,0.314425615662435,0.541917746927801,0.429573523976691,0.27919607002582,0.31554593675012,0.124059078332918,0.189659715112916,0.277292593163375,0.0903114311143157
1996-03-31,0.516127553673777,0.376556540654014,0.524786013260236,0.432105705034402,0.292219742235598,0.309471099286045,0.145891495121563,0.23619433759949,0.319808917077054,0.0992630896752741
1996-04-30,0.512331009087407,0.390711351018715,0.513047004904227,0.434305512365049,0.295083896923113,0.368182491237229,0.157702697465107,0.217184101431771,0.32591392564839,0.111404499182501
1996-05-31,0.508321089551876,0.394970794801666,0.504108320576907,0.46034311921329,0.312159259750376,0.390419031798823,0.1791237286256,0.244765746455074,0.358666206144708,0.120180404068932
1996-06-30,0.514047191384185,0.400320346315603,0.504999944827959,0.573863679127437,0.354485572094552,0.384798797192276,0.157883866037538,0.277479560402532,0.366727304144271,0.0928289195879714
1996-07-31,0.516397855445944,0.404352549841158,0.509919938352524,0.506294930566647,0.346920946696354,0.374400851308327,0.199589043756986,0.298194252505002,0.375105732536663,0.143294295337181
1996-08-31,0.507698160319436,0.378043255732531,0.473835904417958,0.505352444553576,0.30705857269368,0.365385824753506,0.167664933396837,0.268436983112399,0.361083301542895,0.113650314889123
1996-09-30,0.51363563696844,0.406996438914172,0.50073156273522,0.530891976659702,0.310851829778575,0.358614380254179,0.195719152175643,0.253921783495865,0.364655917581624,0.135992875176713
1996-10-31,0.514105294647888,0.423800156193298,0.500946687800927,0.52580785174755,0.314161070559413,0.340302707946902,0.208872886673452,0.247434569633188,0.352701590323841,0.149478602418106
1996-11-30,0.517530371908024,0.434225128269831,0.503871602919223,0.518453649647522,0.304832903753296,0.335828687676207,0.225224487236606,0.249681109807374,0.338812948246471,0.16761971354652
1996-12-31,0.511968802496869,0.435947094794343,0.489439783168366,0.498266805398059,0.296155752877277,0.327839949211573,0.223287430790162,0.239918420132518,0.318595699570449,0.171472004011726
1997-01-31,0.51808718251391,0.448059094091911,0.509030461261202,0.496670767540677,0.293923010440981,0.332599296376191,0.213909933537354,0.233633943410972,0.312358170245142,0.169173914999417
1997-02-28,0.52554317391631,0.439197455756746,0.51487677632671,0.503056945289979,0.29767239770612,0.321399038844052,0.222900210637476,0.246744969659541,0.316583719186667,0.167904619272506
1997-03-31,0.521853359364985,0.410023842894246,0.517329198210913,0.495107378005183,0.295149357134917,0.304177641251279,0.202353060527207,0.260061837070223,0.325983545736678,0.132482028325109
1997-04-30,0.530673110910632,0.425872369584596,0.526436344593998,0.499855293112241,0.306102625649274,0.311599804292029,0.218181923314343,0.263064040166615,0.329636962325441,0.154433246219535
1997-05-31,0.524396619510822,0.410020757689728,0.522640622668622,0.498472203216299,0.3025339276524,0.295970232262236,0.195608344354227,0.256321952368311,0.315621205662243,0.140496488528159
1997-06-30,0.501468928393115,0.396935839772087,0.530494074160222,0.566497233939259,0.262287737801594,0.303713530384919,0.197931543304448,0.193923505815857,0.334304430717505,0.122285626389638
1997-07-31,0.480859608511265,0.401392054559439,0.510156714553085,0.456403452669567,0.258872619585736,0.242935552864423,0.193552300490033,0.205387146669925,0.296892811559957,0.13834855808709
1997-08-31,0.49581190011339,0.403571948230248,0.507429464852699,0.457444684885781,0.281886799500052,0.258818688914559,0.185138958768513,0.230713243459425,0.306016319237067,0.143109549813062
1997-09-30,0.507626094570235,0.403665955219805,0.513247878836788,0.45385797577201,0.289817013124969,0.301747500033288,0.176753471258091,0.238428540918615,0.312745176797544,0.131909620594821
1997-10-31,0.492511135339648,0.385445793794963,0.50701011500508,0.447247360974034,0.303331065341733,0.300405523896288,0.177390673651977,0.243540272477605,0.325323655393295,0.139166628474294
1997-11-30,0.457716967467883,0.382459584440107,0.478252198122074,0.458646524984601,0.297312480774999,0.301872369063544,0.165776318600421,0.244271105102777,0.297863578152086,0.131213629685203
1997-12-31,0.466819834221573,0.376316412866214,0.474919726291377,0.453374617552755,0.303203753941903,0.302799746670352,0.15065648470225,0.242296086756133,0.299253704561449,0.123752050470909
1998-01-31,0.479644331742885,0.381406089266329,0.474303645587097,0.452687020985929,0.313613790020406,0.305260351820316,0.163465511591159,0.259308066016984,0.302862137822276,0.134367702493246
1998-02-28,0.471173845891653,0.377544289704767,0.469087644060063,0.452287620071523,0.310039712913797,0.314892717503719,0.141064335983314,0.24871657484535,0.293714191873036,0.126811578199548
1998-03-31,0.500730205503127,0.416669831833757,0.502804505452016,0.464220792139785,0.319715230270653,0.274216235689406,0.207234038232748,0.231353378951849,0.306237092764056,0.144273784349302
1998-04-30,0.497675773416606,0.427169232231305,0.502618234971354,0.449980557448532,0.333042617205425,0.313990797639523,0.215244760454792,0.2493970612498,0.318393210383548,0.159736527439793
1998-05-31,0.498199859498735,0.41023397356639,0.484548668587846,0.445838175125125,0.328536999910674,0.332329097022206,0.203399014361817,0.262133987671164,0.305140232163535,0.156570958544709
1998-06-30,0.47349104520926,0.35991554768333,0.491987795310854,0.550133450815563,0.277055271306797,0.337489734085583,0.181422418534641,0.214580020287441,0.33176832689285,0.141417709564193
1998-07-31,0.497032849812085,0.404804613532456,0.473316181978097,0.452488654152036,0.259378261782246,0.250815618413646,0.196446011654572,0.213175671613337,0.280986105109426,0.186229767145314
1998-08-31,0.514020942531082,0.405648087902902,0.472537748061496,0.457694332129415,0.272665506643424,0.274704065679275,0.173849307933165,0.246289234406078,0.284824065446803,0.161585445709609
1998-09-30,0.52820567468909,0.42240692193611,0.471755586774742,0.454158727129325,0.273112741447375,0.297181350087293,0.190345824745306,0.246211392717343,0.284516302472002,0.174553990245184
1998-10-31,0.527163864028218,0.404313293129869,0.468512970024026,0.452747335070455,0.268905675755057,0.284883481914367,0.167368754465124,0.254708152662276,0.281804119634733,0.141803695699492
1998-11-30,0.507726194473753,0.400125380640947,0.46004069868083,0.447191978605343,0.254392371180787,0.298906759418528,0.158609327945094,0.23632918693343,0.27644346453357,0.148112211190063
1998-12-31,0.527246200107279,0.414905354758945,0.470117355623503,0.4639378776586,0.244780576608574,0.34233520637873,0.168337836977553,0.216580639422619,0.276191056457805,0.146954030545049
1999-01-31,0.532099250899947,0.425490062737343,0.469789644573966,0.45761086041882,0.242353420149462,0.356831453338411,0.173247918182893,0.219535722173582,0.274144580373942,0.142315303158989
1999-02-28,0.538442596193216,0.419237902115806,0.475781750863757,0.469699541586908,0.259214422251744,0.386951038828209,0.175683449515473,0.238916156809708,0.291613778190735,0.142596329008111
1999-03-31,0.549651112148338,0.419308048517096,0.487390081863086,0.482817311497953,0.272622235747066,0.419893668061885,0.179914711779024,0.265309373777802,0.320093442413901,0.144496072739897
1999-04-30,0.548553291762748,0.437646597020722,0.487324488588925,0.495374251454718,0.28653167746894,0.437675154112664,0.189902184475955,0.279012263459599,0.325911531215752,0.165554501394915
1999-05-31,0.548626914424269,0.432338348095037,0.484572896232481,0.485623280577999,0.295369465582664,0.441666908626291,0.206388207036722,0.285312688075716,0.333206489220804,0.171831347770843
1999-06-30,0.530913021569791,0.43319787826108,0.481109135102206,0.576573960456609,0.266241899966374,0.478911635606895,0.194024065114337,0.248710545194602,0.34059686733681,0.166461999316035
1999-07-31,0.568517207203816,0.502108717179361,0.492760584741753,0.468166596876963,0.319680641358152,0.441262461502423,0.279649203186573,0.298081392710421,0.338571220600453,0.248237399050785
1999-08-31,0.573740005804378,0.523859776160808,0.51432627692644,0.461530239094719,0.316279765027795,0.443011752491865,0.291935291546551,0.288212796733652,0.335827169155041,0.245696398539041
1999-09-30,0.582969476093079,0.543621583338546,0.52592375579785,0.462497205669228,0.3173880856789,0.457310755854111,0.306951218304118,0.296739419994753,0.348351983832184,0.260365294956842
1999-10-31,0.582608253382213,0.544722122329172,0.526524191440147,0.459283731828855,0.314624265710008,0.419755050144797,0.30525839746196,0.287492171502172,0.349155982380226,0.261702544286823
1999-11-30,0.57278281693765,0.514473640820093,0.502644285486976,0.452905482397373,0.307934086227317,0.383700869299239,0.288763989235668,0.287433409428813,0.330191670421552,0.243322432259243
1999-12-31,0.577377524837998,0.518337290193342,0.509973374002778,0.460389577553644,0.317375958889098,0.378222277948837,0.29494903559336,0.308242325009182,0.343767810332446,0.250962395051873
2000-01-31,0.577493081510294,0.521355072667599,0.511101165496774,0.462406610743942,0.317474567922105,0.386267025965263,0.303730795411552,0.311956339760082,0.349485362303591,0.262661597090797
2000-02-29,0.577745324719084,0.51198371215973,0.502169330780767,0.464982721221378,0.320482127999462,0.349669160279229,0.29864925540129,0.313542121567691,0.343252648902854,0.270572666265441
2000-03-31,0.60330919336129,0.527644837399353,0.525851797569655,0.45987304504681,0.338046960534846,0.336691387483569,0.308706500578135,0.342613758406552,0.367705410477129,0.273260861459921
2000-04-30,0.595467850696256,0.532862415061802,0.530539482065102,0.458066853079795,0.332580052858081,0.348366753046676,0.319499990752537,0.33300125622494,0.36465887101475,0.26092713625023
2000-05-31,0.581090531288414,0.517409515148708,0.528381187674261,0.455637502288306,0.343786631387219,0.325997894915106,0.31817303113425,0.345777427274057,0.385973151080467,0.232752187741879
2000-06-30,0.540217493999153,0.462407451724152,0.534028910712869,0.591911378056687,0.2737667615369,0.316146290087864,0.27696487846175,0.299904594235398,0.404241933228868,0.186629486107812
2000-07-31,0.592765845971292,0.533036532047794,0.531134778442705,0.413600972794444,0.383508030956241,0.241825184104525,0.383001116463026,0.399894141838465,0.332885004090588,0.264558802599864
2000-08-31,0.580799656473736,0.540972322381038,0.538955556333243,0.426232073015161,0.393215759624029,0.28106453378659,0.387473700574645,0.401647081518337,0.332685085921258,0.27079890702355
2000-09-30,0.584762184030648,0.541003049517079,0.543243559523868,0.426074626244412,0.402055630049812,0.296366922399553,0.392482935936334,0.405161545410589,0.337922652553099,0.280362833978977
2000-10-31,0.5908416493356,0.536155847053532,0.546324048721492,0.437044659973389,0.407091179273845,0.293699207314277,0.383838245513119,0.414096678863841,0.346651521453692,0.274692718234085
2000-11-30,0.591977376932329,0.511798038209499,0.541452399851053,0.43288705801887,0.39886697020965,0.275742654947911,0.342880555549468,0.424634666793571,0.355787396344303,0.264817053315319
2000-12-31,0.597457598262625,0.522642232609957,0.542135442076695,0.435240718676946,0.40275612179422,0.318488304522535,0.314011238238576,0.426433599038896,0.351870297477079,0.242211790560397
2001-01-31,0.598976019943437,0.5362244611477,0.54539946213618,0.434733793266848,0.399503464786955,0.330998612473025,0.340546174611344,0.418999062950985,0.352747889657348,0.256220831855114
2001-02-28,0.606508413291758,0.546469879620217,0.542168431850756,0.433086728894353,0.417945043211091,0.340301277579553,0.328664890833345,0.431856691696736,0.351845702751429,0.282148590818624
2001-03-31,0.63061949253473,0.553284571240751,0.568904054756085,0.436081273794961,0.447233790339271,0.342182569120971,0.356573614754386,0.447587182116247,0.365715895856935,0.2893657532233
