Data Coverage
Universe Name: Russell 2000
Factor Code: NIStab
Factor Name: Net Income Stability
Created Date: 2024-07-25

Date,Count,Total,Coverage
1991-08-31,1,1994,0.000501504513540622
1991-09-30,1,1991,0.000502260170768458
1991-10-31,1,1987,0.000503271263210871
1991-11-30,1,1980,0.000505050505050505
1991-12-31,1,1972,0.00050709939148073
1992-01-31,1,1963,0.000509424350483953
1992-02-29,1,1953,0.000512032770097286
1992-03-31,1,1945,0.00051413881748072
1992-04-30,1,1936,0.000516528925619835
1992-05-31,1,1929,0.000518403317781234
1992-06-30,1,1924,0.00051975051975052
1993-03-31,1,1953,0.000512032770097286
1993-04-30,3,1946,0.00154162384378212
1993-05-31,14,1942,0.00720906282183316
1993-06-30,18,1936,0.00929752066115703
1993-07-31,26,2000,0.013
1993-08-31,40,1994,0.0200601805416249
1993-09-30,46,1986,0.0231621349446123
1993-10-31,49,1982,0.0247225025227043
1993-11-30,63,1976,0.0318825910931174
1993-12-31,68,1969,0.0345352971051295
1994-01-31,69,1955,0.0352941176470588
1994-02-28,72,1948,0.0369609856262834
1994-03-31,159,1943,0.0818322182192486
1994-04-30,166,1938,0.0856553147574819
1994-05-31,169,1929,0.0876101607050285
1994-06-30,171,1921,0.0890161374284227
1994-07-31,155,2000,0.0775
1994-08-31,157,1992,0.0788152610441767
1994-09-30,158,1983,0.0796772566817953
1994-10-31,159,1978,0.0803842264914055
1994-11-30,159,1971,0.0806697108066971
1994-12-31,160,1962,0.0815494393476045
1995-01-31,162,1952,0.0829918032786885
1995-02-28,162,1936,0.0836776859504132
1995-03-31,181,1928,0.0938796680497925
1995-04-30,190,1919,0.099009900990099
1995-05-31,200,1909,0.104766893661603
1995-06-30,206,1901,0.108364018937401
1995-07-31,206,2000,0.103
1995-08-31,223,1988,0.112173038229376
1995-09-30,239,1982,0.12058526740666
1995-10-31,251,1975,0.127088607594937
1995-11-30,348,1960,0.177551020408163
1995-12-31,365,1950,0.187179487179487
1996-01-31,374,1944,0.19238683127572
1996-02-29,417,1928,0.216286307053942
1996-03-31,577,1917,0.300991131977047
1996-04-30,628,1904,0.329831932773109
1996-05-31,634,1896,0.334388185654008
1996-06-30,645,1884,0.342356687898089
1996-07-31,664,2000,0.332
1996-08-31,670,1986,0.337361530715005
1996-09-30,689,1977,0.348507840161861
1996-10-31,693,1970,0.351776649746193
1996-11-30,703,1961,0.358490566037736
1996-12-31,721,1950,0.36974358974359
1997-01-31,734,1942,0.377960865087539
1997-02-28,744,1933,0.384893947232281
1997-03-31,932,1923,0.484659386375455
1997-04-30,940,1911,0.491889063317635
1997-05-31,948,1899,0.499210110584518
1997-06-30,965,1891,0.510312004230566
1997-07-31,945,2000,0.4725
1997-08-31,949,1989,0.477124183006536
1997-09-30,947,1964,0.482179226069246
1997-10-31,958,1950,0.491282051282051
1997-11-30,993,1933,0.513709260217279
1997-12-31,1013,1919,0.527879103699844
1998-01-31,1016,1894,0.536430834213305
1998-02-28,1032,1882,0.548352816153029
1998-03-31,1229,1869,0.65757089352595
1998-04-30,1239,1853,0.668645439827307
1998-05-31,1263,1838,0.687159956474429
1998-06-30,1271,1826,0.6960569550931
1998-07-31,1289,2000,0.6445
1998-08-31,1283,1987,0.645697030699547
1998-09-30,1300,1975,0.658227848101266
1998-10-31,1307,1965,0.665139949109415
1998-11-30,1315,1949,0.674704976911237
1998-12-31,1333,1944,0.685699588477366
1999-01-31,1344,1932,0.695652173913043
1999-02-28,1345,1917,0.701617110067814
1999-03-31,1606,1907,0.842160461457787
1999-04-30,1617,1883,0.858736059479554
1999-05-31,1633,1871,0.872795296632817
1999-06-30,1634,1862,0.877551020408163
1999-07-31,1626,2000,0.813
1999-08-31,1611,1972,0.816937119675456
1999-09-30,1608,1951,0.824192721681189
1999-10-31,1604,1938,0.82765737874097
1999-11-30,1607,1919,0.837415320479416
1999-12-31,1580,1877,0.841768779968034
2000-01-31,1570,1857,0.845449649973075
2000-02-29,1561,1838,0.849292709466812
2000-03-31,1638,1819,0.900494777350192
2000-04-30,1634,1802,0.90677025527192
2000-05-31,1625,1781,0.912408759124088
2000-06-30,1615,1767,0.913978494623656
2000-07-31,1597,2000,0.7985
2000-08-31,1587,1986,0.799093655589124
2000-09-30,1581,1974,0.800911854103343
2000-10-31,1562,1949,0.80143663417137
2000-11-30,1560,1929,0.808709175738725
2000-12-31,1559,1916,0.813674321503132
2001-01-31,1544,1898,0.813487881981033
2001-02-28,1540,1884,0.817409766454352
2001-03-31,1607,1872,0.858440170940171
2001-04-30,1666,1858,0.896663078579117
2001-05-31,1654,1842,0.897937024972856
2001-06-30,1652,1822,0.906695938529089
2001-07-31,1747,2000,0.8735
2001-08-31,1761,1989,0.885369532428356
2001-09-30,1751,1973,0.887480993411049
2001-10-31,1745,1966,0.887589013224822
2001-11-30,1742,1955,0.891048593350384
2001-12-31,1733,1942,0.892378990731205
2002-01-31,1725,1931,0.893319523562921
2002-02-28,1727,1925,0.897142857142857
2002-03-31,1810,1915,0.945169712793734
2002-04-30,1833,1905,0.962204724409449
2002-05-31,1824,1892,0.964059196617336
2002-06-30,1818,1885,0.964456233421751
2002-07-31,1880,2000,0.94
2002-08-31,1877,1992,0.942269076305221
2002-09-30,1874,1985,0.944080604534005
2002-10-31,1871,1979,0.945426983324912
2002-11-30,1868,1971,0.947742262810756
2002-12-31,1867,1967,0.949161159125572
2003-01-31,1863,1964,0.94857433808554
2003-02-28,1853,1950,0.95025641025641
2003-03-31,1890,1944,0.972222222222222
2003-04-30,1882,1931,0.974624546866908
2003-05-31,1873,1920,0.975520833333333
2003-06-30,1871,1916,0.976513569937369
