Factor Code: EPSNumRevFY1C
Factor Name: Number of EPS FY1 Revisions
Universe Name: Russell2000
Time Period: From2005
Sector Name: CrossSectional
Portfolio: ActiveReturn
Weighting Type: Eqt wgt
Created Date: 2024-07-25

AVERAGE 1-MONTH QUANTILE RETURN %
,1 mth,3 mth,6 mth,9 mth,12 mth,18 mth,24 mth,36 mth
Q1,0.39,0.30,0.22,0.20,0.16,0.13,0.11,0.10
Q2,0.16,0.18,0.19,0.18,0.15,0.11,0.06,0.07
Q3,0.07,0.09,0.08,0.06,0.05,0.02,0.01,0.00
Q4,(0.08),(0.09),(0.10),(0.09),(0.09),(0.07),(0.06),(0.07)
Q5,(0.25),(0.24),(0.21),(0.18),(0.13),(0.10),(0.08),(0.08)
Avg. Spread,0.64,0.54,0.44,0.38,0.29,0.23,0.18,0.18
TStat,3.92,6.05,5.83,6.27,5.20,5.09,3.93,5.35


AVERAGE 1-MONTH QUANTILE HIT RATIO %
,1 mth,3 mth,6 mth,9 mth,12 mth,18 mth,24 mth,36 mth
Q1,67.09,72.84,75.11,78.32,76.23,75.58,76.78,76.88
Q2,59.83,62.50,64.19,67.26,65.92,62.21,59.72,61.31
Q3,54.70,54.74,54.59,58.85,56.05,51.61,51.18,53.27
Q4,42.31,40.95,38.43,37.17,33.63,32.72,28.91,32.16
Q5,40.17,36.21,31.44,24.78,29.15,29.03,27.49,27.14


AVERAGE 1-MONTH QUANTILE BATTING AVERAGE %
,1 mth,3 mth,6 mth,9 mth,12 mth,18 mth,24 mth,36 mth
Q1,49.64,49.36,48.43,47.85,46.67,45.67,44.70,42.69
Q2,48.78,48.14,47.60,46.74,45.52,44.11,42.94,40.95
Q3,48.25,47.34,46.15,45.19,44.35,43.21,42.32,40.14
Q4,48.03,46.63,45.11,44.09,42.90,41.78,40.51,38.66
Q5,47.28,46.05,44.34,43.30,42.74,41.24,40.12,38.51
