Factor Code: EPSNumRevFY1C
Factor Name: Number of EPS FY1 Revisions
Universe Name: Russell2000
Time Period: From2005
Sector Name: SectorNeutral
Portfolio: ActiveReturn
Weighting Type: Eqt wgt
Created Date: 2024-07-25

AVERAGE 1-MONTH QUANTILE RETURN %
,1 mth,3 mth,6 mth,9 mth,12 mth,18 mth,24 mth,36 mth
Q1,0.30,0.24,0.18,0.16,0.13,0.10,0.09,0.07
Q2,0.15,0.15,0.09,0.09,0.07,0.05,0.03,0.02
Q3,0.03,0.05,0.05,0.05,0.04,0.03,0.03,0.03
Q4,(0.04),(0.02),(0.04),(0.03),(0.06),(0.05),(0.06),(0.07)
Q5,(0.19),(0.20),(0.18),(0.17),(0.11),(0.09),(0.08),(0.06)
Avg. Spread,0.50,0.44,0.36,0.33,0.25,0.19,0.17,0.14
TStat,3.81,5.95,5.74,6.34,5.25,5.20,4.83,5.01


AVERAGE 1-MONTH QUANTILE HIT RATIO %
,1 mth,3 mth,6 mth,9 mth,12 mth,18 mth,24 mth,36 mth
Q1,63.68,68.10,71.62,72.12,69.51,69.59,72.51,71.86
Q2,53.85,60.34,62.45,62.83,60.54,57.14,56.40,55.78
Q3,49.15,52.59,52.84,52.21,56.05,53.46,53.08,56.78
Q4,41.88,45.69,42.36,41.15,37.67,37.79,39.34,34.17
Q5,38.46,36.21,32.75,25.66,29.15,31.80,27.49,30.15


AVERAGE 1-MONTH QUANTILE BATTING AVERAGE %
,1 mth,3 mth,6 mth,9 mth,12 mth,18 mth,24 mth,36 mth
Q1,49.64,49.36,48.43,47.85,46.67,45.67,44.70,42.69
Q2,48.78,48.14,47.60,46.74,45.52,44.11,42.94,40.95
Q3,48.25,47.34,46.15,45.19,44.35,43.21,42.32,40.14
Q4,48.03,46.63,45.11,44.09,42.90,41.78,40.51,38.66
Q5,47.28,46.05,44.34,43.30,42.74,41.24,40.12,38.51
