Factor Code: EPSNumRevFY1C
Factor Name: Number of EPS FY1 Revisions
Universe Name: S&P500
Time Period: From1990
Sector Name: CrossSectional
Portfolio: ActiveReturn
Weighting Type: Eqt wgt
Created Date: 2024-07-25

AVERAGE 1-MONTH QUANTILE RETURN %
,1 mth,3 mth,6 mth,9 mth,12 mth,18 mth,24 mth,36 mth
Q1,0.02,(0.05),(0.06),(0.05),(0.09),(0.09),(0.02),0.03
Q2,0.05,0.11,0.08,0.04,0.00,(0.03),0.00,0.02
Q3,0.09,0.06,0.09,0.05,0.03,(0.03),(0.02),(0.01)
Q4,(0.03),(0.08),(0.04),(0.05),(0.02),(0.03),(0.01),(0.01)
Q5,0.08,0.03,(0.05),(0.05),(0.03),(0.01),(0.01),(0.02)
Avg. Spread,(0.06),(0.08),(0.01),0.00,(0.07),(0.08),(0.01),0.05
TStat,(0.32),(0.67),(0.12),(0.01),(1.08),(1.74),(0.32),1.23


AVERAGE 1-MONTH QUANTILE HIT RATIO %
,1 mth,3 mth,6 mth,9 mth,12 mth,18 mth,24 mth,36 mth
Q1,56.77,52.49,55.37,57.63,60.27,56.64,61.07,64.18
Q2,51.16,49.50,56.04,55.59,54.11,47.55,54.64,50.37
Q3,49.83,54.49,53.69,53.22,51.37,50.35,50.36,49.63
Q4,48.51,44.85,47.65,44.07,47.26,45.80,43.57,44.03
Q5,48.18,48.50,42.28,37.63,40.07,45.10,41.79,39.55


AVERAGE 1-MONTH QUANTILE BATTING AVERAGE %
,1 mth,3 mth,6 mth,9 mth,12 mth,18 mth,24 mth,36 mth
Q1,50.12,48.93,48.14,48.00,46.43,45.64,46.51,45.77
Q2,49.42,49.05,48.71,47.90,46.82,46.73,46.42,45.67
Q3,50.01,48.97,48.09,48.09,46.66,45.95,45.65,44.57
Q4,48.99,48.54,47.51,46.46,46.73,45.91,45.00,44.26
Q5,49.28,48.63,47.26,46.64,46.51,46.04,44.59,43.43
