Average Information Coefficient Timeseries,,
Universe Name: Russell 2000,,
Factor Code: NIStab,,
Factor Name: Net Income Stability,,
Sector Name: Cross Sectional,,
Holding Period: 12 Month,,
Created Date: 2024-07-26,,
,,
Date,IC - After,IC - Before
8/31/1992,0,0
9/30/1992,0,0
10/31/1992,0,0
11/30/1992,0,0
12/31/1992,0,0
1/31/1993,0,0
2/28/1993,0,0
3/31/1993,0,0
4/30/1993,0,0
5/31/1993,0,0
6/30/1993,0,0
3/31/1994,0,0
4/30/1994,-0.909576998,-0.822039489
5/31/1994,-0.446631447,-0.42526023
6/30/1994,-0.417464708,-0.204953734
7/31/1994,-0.160834209,0.005906391
8/31/1994,-0.059207804,0.031159968
9/30/1994,-0.008337498,-0.025229806
10/31/1994,0.094146334,0.142639265
11/30/1994,0.069060416,-0.067862168
12/31/1994,-0.016091152,-0.138837433
1/31/1995,0.009733038,-0.141839558
2/28/1995,0.081654313,-0.129211895
3/31/1995,0.09777049,0.035247509
4/30/1995,0.12335747,0.081483825
5/31/1995,0.143459078,0.106707416
6/30/1995,0.127422051,0.10251279
7/31/1995,0.170631357,0.153241336
8/31/1995,0.201551636,0.216399672
9/30/1995,0.210282186,0.171718506
10/31/1995,0.213618331,0.205363572
11/30/1995,0.196267231,0.157934738
12/31/1995,0.131138784,0.073678206
1/31/1996,0.112077537,0.10314893
2/29/1996,0.100948143,0.10253697
3/31/1996,0.032096604,0.059925882
4/30/1996,0.035382896,0.109931102
5/31/1996,0.01979952,0.017088107
6/30/1996,-0.015328393,0.030593999
7/31/1996,-0.055934114,-0.083942737
8/31/1996,0.005098181,0.006527696
9/30/1996,-0.028691057,-0.047160328
10/31/1996,-0.038894322,-0.066224135
11/30/1996,-0.050304985,0.019989647
12/31/1996,-0.032391956,-0.027513555
1/31/1997,0.015559523,0.072380483
2/28/1997,0.011260424,0.061649793
3/31/1997,0.013478038,-0.018837375
4/30/1997,0.040190507,-0.005743864
5/31/1997,0.058750705,0.070383855
6/30/1997,0.05742176,0.058308055
7/31/1997,0.038427339,0.005322903
8/31/1997,0.055732903,0.036947838
9/30/1997,0.053850613,0.067269181
10/31/1997,0.073316583,0.072830662
11/30/1997,0.096302412,0.030194552
12/31/1997,0.130526016,0.055077756
1/31/1998,0.156156309,0.08913287
2/28/1998,0.176309062,0.033190176
3/31/1998,0.139294639,0.02603261
4/30/1998,0.085624239,0.017589248
5/31/1998,0.115762779,0.078024097
6/30/1998,0.116726658,0.102467125
7/31/1998,0.075170938,0.101943067
8/31/1998,0.09202226,0.134051888
9/30/1998,0.076111407,0.117351567
10/31/1998,0.083082685,0.069057362
11/30/1998,0.072145201,0.081292588
12/31/1998,0.035675798,-0.007735777
1/31/1999,0.022893328,0.008294222
2/28/1999,0.006777077,0.038971589
3/31/1999,0.023778424,0.04838043
4/30/1999,0.049002343,0.083206768
5/31/1999,-4.76E-06,0.05958994
6/30/1999,0.001955895,0.058803359
7/31/1999,-0.030396515,-0.014405872
8/31/1999,-0.097355411,-0.072405653
9/30/1999,-0.073042491,-0.03710286
10/31/1999,-0.062579768,-0.062418432
11/30/1999,-0.084214961,-0.084451648
12/31/1999,-0.088778588,-0.06371073
1/31/2000,-0.113923279,-0.031950552
2/29/2000,-0.14250571,-0.058837751
3/31/2000,-0.136520286,-0.073832634
4/30/2000,-0.074335514,-0.01960686
5/31/2000,-0.059617664,-0.035993367
6/30/2000,-0.099127542,-0.066221716
7/31/2000,-0.037237248,-0.14550209
8/31/2000,-0.056338042,-0.204036037
9/30/2000,-0.021488741,-0.177676776
10/31/2000,0.011333199,-0.086763684
11/30/2000,0.101542182,-0.007762693
12/31/2000,0.145603515,0.012293632
1/31/2001,0.185296441,0.139359073
2/28/2001,0.254686207,0.201274882
3/31/2001,0.25989569,0.190845736
4/30/2001,0.211674466,0.141503078
5/31/2001,0.208560225,0.212978022
6/30/2001,0.262302749,0.270062746
7/31/2001,0.346213022,0.266434668
8/31/2001,0.367133196,0.338921169
9/30/2001,0.37193228,0.3443841
10/31/2001,0.344468705,0.304954603
11/30/2001,0.262014918,0.147648924
12/31/2001,0.210371353,0.10286362
1/31/2002,0.305660089,0.28750701
2/28/2002,0.310501272,0.236795009
3/31/2002,0.267339654,0.254358056
4/30/2002,0.333535456,0.259133106
5/31/2002,0.363828778,0.248542914
6/30/2002,0.362499253,0.211735384
7/31/2002,0.339251152,0.180247673
8/31/2002,0.37097436,0.229393941
9/30/2002,0.332745898,0.048528847
10/31/2002,0.351915806,0.220131706
11/30/2002,0.352610318,0.309872281
12/31/2002,0.370543615,0.344573778
1/31/2003,0.350332434,0.374907543
2/28/2003,0.324245624,0.376224191
3/31/2003,0.332865741,0.413658036
4/30/2003,0.262568428,0.346286529
5/31/2003,0.137988936,0.184849983
6/30/2003,0.036809734,0.158609622
7/31/2003,-0.032606387,0.091608234
8/31/2003,-0.108998823,0.060816595
9/30/2003,-0.19253363,-0.036289967
10/31/2003,-0.165826439,-0.056997673
11/30/2003,-0.044388314,0.008805348
12/31/2003,-0.13625923,-0.104176187
1/31/2004,-0.184378544,-0.144344098
2/29/2004,-0.182864743,-0.192994559
3/31/2004,-0.185236387,-0.240386453
4/30/2004,-0.14386447,-0.176200539
5/31/2004,-0.022403689,-0.032572898
6/30/2004,-0.003119574,-0.06698997
7/31/2004,0.089581629,-0.111879683
8/31/2004,0.123799721,-0.047680756
9/30/2004,0.133047717,-0.003704924
10/31/2004,0.144857674,0.006251857
11/30/2004,0.123934242,-0.001626865
12/31/2004,0.122960104,0.044059755
1/31/2005,0.188436362,0.189618516
2/28/2005,0.163267005,0.20003035
3/31/2005,0.168715268,0.175042571
4/30/2005,0.170522484,0.173702602
5/31/2005,0.179127069,0.189821427
6/30/2005,0.16480955,0.150457378
7/31/2005,0.072602797,0.062992278
8/31/2005,0.042514207,0.059899384
9/30/2005,0.022767615,0.067412591
10/31/2005,0.051406926,0.098628915
11/30/2005,0.046948603,0.091994812
12/31/2005,0.084056792,0.142367404
1/31/2006,0.017265666,0.052416386
2/28/2006,0.004289364,0.020744931
3/31/2006,-0.008036513,-0.007348247
4/30/2006,-0.016011286,0.011738798
5/31/2006,0.013593508,0.032818309
6/30/2006,0.02797968,0.010065648
7/31/2006,0.053848868,-0.035210382
8/31/2006,0.035103262,-0.038262199
9/30/2006,0.040823708,-0.034502386
10/31/2006,-0.019799854,-0.068110783
11/30/2006,-0.007205269,-0.023346784
12/31/2006,0.020094923,0.038070686
1/31/2007,0.021198993,0.113240809
2/28/2007,0.02075668,0.093704783
3/31/2007,0.007187225,0.091313523
4/30/2007,-0.028109924,0.039241628
5/31/2007,-0.045756905,-0.008576448
6/30/2007,-0.065456442,-0.028498
7/31/2007,-0.0840585,-0.078638817
8/31/2007,-0.027195459,-0.062756024
9/30/2007,-0.038122342,-0.094114261
10/31/2007,-0.046868383,-0.099749873
11/30/2007,0.009383985,-0.061123604
12/31/2007,0.002561086,-0.082250908
1/31/2008,0.074898424,-0.057006342
2/29/2008,0.060368035,0.026842017
3/31/2008,0.09118601,0.043394373
4/30/2008,0.091309902,0.0239517
5/31/2008,0.084496986,0.065880377
6/30/2008,0.074403373,0.079052676
7/31/2008,0.063302455,0.110888845
8/31/2008,0.060738167,0.055778295
9/30/2008,0.103350785,0.073733331
10/31/2008,0.160726484,0.083986359
11/30/2008,0.181111814,0.066473576
12/31/2008,0.19018415,0.057131461
1/31/2009,0.153543773,0.05016454
2/28/2009,0.173487929,0.096243795
3/31/2009,0.179752206,0.105265475
4/30/2009,0.176169476,0.186094758
5/31/2009,0.145234283,0.209923938
6/30/2009,0.119317007,0.205134339
7/31/2009,0.104976642,0.165420433
8/31/2009,0.094498329,0.18327257
9/30/2009,0.060842792,0.169190123
10/31/2009,0.000795297,0.070494545
11/30/2009,-0.02822747,-0.027580525
12/31/2009,-0.03357123,-0.036181706
1/31/2010,-0.039112788,-0.063086724
2/28/2010,-0.069487808,-0.102553651
3/31/2010,-0.085329254,-0.130232828
4/30/2010,-0.087339552,-0.072697695
5/31/2010,-0.040243766,-0.003900966
6/30/2010,-0.003397495,-0.017984611
7/31/2010,0.045692245,0.051526471
8/31/2010,0.101272788,0.066783005
9/30/2010,0.085226761,0.017761229
10/31/2010,0.036201141,-0.105237331
11/30/2010,0.03217874,-0.080512431
12/31/2010,0.00901491,0.029680699
1/31/2011,0.036347771,0.028839555
2/28/2011,0.047242715,0.083988234
3/31/2011,0.094491102,0.100989181
4/30/2011,0.160001371,0.199859631
5/31/2011,0.149935753,0.168515836
6/30/2011,0.117055064,0.009412613
7/31/2011,0.178635839,0.059091385
8/31/2011,0.173921954,-0.002333285
9/30/2011,0.23535066,0.061048413
10/31/2011,0.191258162,0.049641139
11/30/2011,0.193025527,0.057809979
12/31/2011,0.232708587,0.192010327
1/31/2012,0.200659984,0.181189558
2/29/2012,0.185543894,0.245418746
3/31/2012,0.151347417,0.242667223
4/30/2012,0.151603863,0.246046522
5/31/2012,0.13823624,0.228684832
6/30/2012,0.09160025,0.171148898
7/31/2012,0.106067607,0.113031095
8/31/2012,0.019952517,-0.029355597
9/30/2012,-0.026192908,-0.083489135
10/31/2012,-0.005613078,-0.025574914
11/30/2012,-0.026954427,-0.038695527
12/31/2012,-0.026213452,-0.033958365
1/31/2013,0.007217119,0.051061961
2/28/2013,0.033599601,0.053267844
3/31/2013,0.045056478,0.038927379
4/30/2013,0.004700412,0.02237086
5/31/2013,0.004151827,0.011464851
6/30/2013,0.011242244,0.004076293
7/31/2013,0.01691817,-0.036819967
8/31/2013,0.054407402,0.014300026
9/30/2013,0.053968105,0.022772649
10/31/2013,0.035220889,-0.025201528
11/30/2013,0.038909318,-0.000905144
12/31/2013,0.021795616,0.033183737
