Quintile Returns,,,,,,,,,,,,,,,
Universe Name: S&P 500,,,,,,,,,,,,,,,
Factor Code: SUEC,,,,,,,,,,,,,,,
Factor Name: Standardized Unexpected Earnings,,,,,,,,,,,,,,,
Sector Name: Cross Sectional,,,,,,,,,,,,,,,
Weight Type: Equal Weighted,,,,,,,,,,,,,,,
Created Date: 2024-07-25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Q1,Q2,Q3,Q4,Q5,Spread,,Q1,Q2,Q3,Q4,Q5,,LS,
12/31/2005,0.001927865,0.002141937,0.006398194,0.004009056,-0.015288547,0.010238545,,,,,,,,,
1/31/2006,0.00354498,-0.006472624,-0.014622582,0.013004409,0.010359546,-0.048590143,,1,1,1,1,1,,,1
2/28/2006,-0.004537537,0.009339268,0.001917497,-0.000962323,-0.008567648,0.000775758,,0.995462463,1.009339268,1.001917497,0.999037677,0.991432352,,0.010301591,1.010301591
3/31/2006,0.004313326,-0.002517491,-0.005380824,0.002945782,0.001318517,-0.014790621,,0.999756216,1.006798266,0.996526355,1.001980625,0.992739572,,-0.005463273,1.004782037
4/30/2006,0.002269201,-0.007797233,-0.001822026,-0.000282318,0.008827195,-0.017935625,,1.002024864,0.998948025,0.994710658,1.001697748,1.001502679,,-0.007514915,0.997231186
5/31/2006,0.001667476,0.000301503,0.004973791,-0.000822197,-0.007718058,0.03716158,,1.003695716,0.999249211,0.999658141,1.000874155,0.993773023,,0.0011237,0.998351774
6/30/2006,0.003109656,0.004625619,0.006579941,0.002517687,-0.012596872,0.017770765,,1.006816865,1.003871358,1.006235833,1.003394043,0.981254591,,0.002107932,1.000456232
7/31/2006,-0.013242941,-0.003780484,0.014322944,0.001495316,-0.000112802,0.000795894,,0.993483648,1.000076238,1.020648092,1.004894434,0.981143904,,-0.005275801,0.995178025
8/31/2006,0.001066297,-0.002355153,-0.005907046,0.003371593,0.008011759,-0.038392538,,0.994542997,0.997720905,1.014619077,1.008282529,0.989004593,,-0.005726746,0.989478893
9/30/2006,-0.003984374,0.001481511,0.000586255,-0.0034972,0.004268427,-0.034508238,,0.990580366,0.999199039,1.015213903,1.004756364,0.993226087,,0.004978711,0.994405222
10/31/2006,-0.008421524,-0.007455317,0.00427679,0.000235859,0.006917889,-0.051711209,,0.98223817,0.991749694,1.019555759,1.004993344,1.000097115,,-0.007691176,0.986757077
11/30/2006,0.005484459,0.005496214,-0.015252473,0.003729278,0.004079855,-0.02397185,,0.987625215,0.997200563,1.004005013,1.008741244,1.004177365,,0.001766937,0.988500614
12/31/2006,-0.005672975,-0.001413219,0.00423144,0.000535164,-0.00148083,-0.012624115,,0.982022442,0.9957913,1.008253399,1.009281085,1.002690349,,-0.001948383,0.986574636
1/31/2007,0.001105378,-0.000479316,-0.002480545,-2.57672E-05,0.000433232,-0.024169289,,0.983107948,0.995314001,1.005752382,1.009255079,1.003124746,,-0.000453549,0.986127176
2/28/2007,0.001518754,-0.00536309,-0.004294795,0.00410162,0.005760604,-0.001569505,,0.984601048,0.989976042,1.001432881,1.013394659,1.008903351,,-0.00946471,0.976793769
3/31/2007,0.009968809,-0.003002441,-0.005876899,-0.002596964,0.00162304,0.000440294,,0.994416348,0.987003697,0.995547561,1.010762909,1.010540842,,-0.000405477,0.976397702
4/30/2007,-0.008996874,-0.005880338,0.002249071,-0.000113579,0.012632071,-0.064624415,,0.985469709,0.981199782,0.997786618,1.010648108,1.023306065,,-0.005766759,0.970767051
5/31/2007,-0.000817877,0.008593141,0.000121944,-0.004148542,-0.004649364,-0.028473229,,0.984663716,0.98963137,0.997908292,1.006455392,1.018548343,,0.012741683,0.983136257
6/30/2007,-0.001218159,0.003968374,-0.000443758,-0.004778239,7.361E-05,0.01730542,,0.983464239,0.993558597,0.997465463,1.001646308,1.018623318,,0.008746613,0.991735369
7/31/2007,0.005642343,0.010110217,-0.001648218,-0.000332908,-0.014255153,0.0636851,,0.989013282,1.00360369,0.995821422,1.001312852,1.004102687,,0.010443125,1.002092185
8/31/2007,-0.00096396,0.005117584,0.003019517,0.003927672,-0.016022053,0.014871772,,0.988059912,1.008739716,0.998828322,1.005245681,0.988014901,,0.001189912,1.003284587
9/30/2007,0.015412047,0.016568784,-0.017159757,-0.003365793,-0.016899137,0.008008512,,1.003287938,1.025453306,0.98168867,1.001862232,0.971318302,,0.019934577,1.02328464
10/31/2007,0.018152183,0.005690251,-0.017016074,0.008937273,-0.011868789,0.018432368,,1.021499804,1.031288393,0.964984184,1.010816148,0.959789929,,-0.003247022,1.019962012
11/30/2007,0.002462856,0.01959388,-0.010773379,0.005629352,-0.012726271,0.064714843,,1.024015611,1.051495334,0.954588044,1.016506388,0.947575383,,0.013964527,1.0342053
12/31/2007,0.014569569,0.00272928,-0.001157572,0.005853439,-0.014108365,0.046411643,,1.038935077,1.054365159,0.953483039,1.022456446,0.934206644,,-0.003124158,1.030974279
1/31/2008,-0.011251485,-0.013492116,-0.014757618,0.003775573,0.035561371,-0.00296163,,1.027245514,1.040139543,0.939411901,1.026316805,0.967428312,,-0.017267688,1.013171736
2/29/2008,0.008337465,0.006435817,0.004221907,0.005316659,-0.025417006,0.064020731,,1.035810138,1.04683369,0.943378011,1.031773381,0.942839181,,0.001119158,1.014305636
3/31/2008,0.003510718,0.013096614,-0.000511036,-0.000547915,-0.014568837,0.030901547,,1.039446575,1.060543667,0.942895911,1.031208057,0.929103111,,0.013644529,1.028145358
4/30/2008,-0.005222585,0.003902976,0.004523367,-0.013353248,0.003702104,-0.061763473,,1.034017977,1.064682944,0.947160975,1.01743808,0.932542747,,0.017256224,1.045887265
5/31/2008,0.015121201,0.001767755,-0.009772623,-0.002660467,-0.005569589,-0.004787155,,1.049653571,1.066565042,0.937904727,1.014731219,0.927348867,,0.004428222,1.050518686
6/30/2008,0.018125642,0.026996502,0.002748524,-0.000735378,-0.045373367,0.1657124,,1.068679216,1.095358568,0.940482581,1.013985008,0.885271926,,0.027731881,1.079651545
7/31/2008,-0.002459335,-0.011697256,-0.001853157,-0.00403326,0.023025844,-0.0255457,,1.066050975,1.082545878,0.93873972,1.009895343,0.905656059,,-0.007663996,1.0713771
8/31/2008,-0.005646865,-0.004834386,-0.002863591,-0.007897832,0.024626106,-0.058315138,,1.060031129,1.077312434,0.936051554,1.001919359,0.927958841,,0.003063446,1.074659206
9/30/2008,-0.018847344,0.002456943,0.017474357,0.009213603,-0.016788609,0.103672769,,1.040052358,1.079959329,0.952408453,1.011150647,0.912379703,,-0.00675666,1.067398098
10/31/2008,-0.015072026,0.026974408,0.020954569,-0.013717376,-0.014193409,0.208764429,,1.024376661,1.109090592,0.972365761,0.997280313,0.899429924,,0.040691784,1.110832431
11/30/2008,-0.011182102,0.033776305,0.016633322,-0.015276995,-0.00338026,0.098370682,,1.012921977,1.146551574,0.988539434,0.982044867,0.896389617,,0.0490533,1.165322427
12/31/2008,-0.006449035,-0.010788929,-0.006144103,0.006115902,-0.004214436,-0.046008692,,1.006389608,1.134181511,0.982465746,0.988050957,0.89261184,,-0.016904831,1.145622849
1/31/2009,0.026975647,0.004123133,-0.021729895,-0.008073152,-0.004899353,0.109569069,,1.03353762,1.138857892,0.961116869,0.980074271,0.88823862,,0.012196285,1.159595192
